agent_id,agent_type,frame,x,y,time_s
0,0,0,1.3228746877731865,-3.2247865046122968,0.0
0,0,1,1.3172455781833268,-3.1846480565234856,0.04
0,0,2,1.3116164685934688,-3.1445096084346735,0.08
0,0,3,1.3059873590036073,-3.1043711603458624,0.12
0,0,4,1.3003582494137493,-3.0642327122570503,0.16
0,0,5,1.2947291398238896,-3.024094264168239,0.2
0,0,6,1.2903696315511208,-2.984665570895232,0.24
0,0,7,1.2860101232783503,-2.945236877622226,0.28
0,0,8,1.2816506150055833,-2.90580818434922,0.32
0,0,9,1.2772911067328145,-2.866379491076213,0.36
0,0,10,1.2729315984600458,-2.8269507978032067,0.4
0,0,11,1.2705113027308315,-2.789116524735385,0.44
0,0,12,1.2680910070016207,-2.751282251667565,0.48
0,0,13,1.2656707112724064,-2.713447978599743,0.52
0,0,14,1.2632504155431956,-2.675613705531923,0.56
0,0,15,1.2608301198139813,-2.637779432464101,0.6
0,0,16,1.259407411324089,-2.6011340556049225,0.64
0,0,17,1.2579847028341948,-2.564488678745743,0.68
0,0,18,1.2565619943443025,-2.5278433018865654,0.72
0,0,19,1.2551392858544101,-2.491197925027386,0.76
0,0,20,1.253716577364516,-2.4545525481682073,0.8
0,0,21,1.2522241772165046,-2.4172157850747933,0.84
0,0,22,1.2507317770684931,-2.37987902198138,0.88
0,0,23,1.2492393769204817,-2.342542258887966,0.92
0,0,24,1.2477469767724703,-2.305205495794553,0.96
0,0,25,1.2462545766244588,-2.267868732701139,1.0
0,0,26,1.2453298505173542,-2.231286209305325,1.04
0,0,27,1.2444051244102496,-2.194703685909512,1.08
0,0,28,1.243480398303145,-2.158121162513698,1.12
0,0,29,1.2425556721960405,-2.121538639117885,1.16
0,0,30,1.2416309460889359,-2.084956115722072,1.2
0,0,31,1.243185242483758,-2.05220854277192,1.24
0,0,32,1.2447395388785818,-2.0194609698217683,1.28
0,0,33,1.2462938352734039,-1.9867133968716173,1.32
0,0,34,1.247848131668226,-1.9539658239214655,1.36
0,0,35,1.249402428063048,-1.9212182509713145,1.4
0,0,36,1.2510107495131653,-1.893611237726561,1.44
0,0,37,1.2526190709632825,-1.8660042244818085,1.48
0,0,38,1.254227392413398,-1.838397211237055,1.52
0,0,39,1.2558357138635152,-1.8107901979923025,1.56
0,0,40,1.2574440353136307,-1.7831831847475499,1.6
0,0,41,1.2574287555103965,-1.7607248287708712,1.64
0,0,42,1.2574134757071622,-1.7382664727941926,1.68
0,0,43,1.2573981959039298,-1.7158081168175139,1.72
0,0,44,1.2573829161006937,-1.6933497608408352,1.76
0,0,45,1.2573676362974595,-1.6708914048641574,1.8
0,0,46,1.2556288585668565,-1.651276800064303,1.84
0,0,47,1.2538900808362552,-1.6316621952644494,1.88
0,0,48,1.2521513031056521,-1.612047590464595,1.92
0,0,49,1.250412525375049,-1.5924329856647415,1.96
0,0,50,1.248673747644446,-1.572818380864888,2.0
0,0,51,1.2468090646308507,-1.5533128752360668,2.04
0,0,52,1.2449443816172572,-1.5338073696072456,2.08
0,0,53,1.2430796986036636,-1.5143018639784245,2.12
0,0,54,1.2412150155900683,-1.4947963583496042,2.16
0,0,55,1.239350332576473,-1.475290852720783,2.2
0,0,56,1.240091493522364,-1.4533733409388851,2.24
0,0,57,1.2408326544682549,-1.4314558291569872,2.28
0,0,58,1.2415738154141458,-1.4095383173750893,2.32
0,0,59,1.2423149763600367,-1.3876208055931905,2.36
0,0,60,1.2430561373059277,-1.3657032938112934,2.4
0,0,61,1.2453724687360435,-1.3394101876849298,2.44
0,0,62,1.2476888001661592,-1.3131170815585662,2.48
0,0,63,1.250005131596275,-1.2868239754322026,2.52
0,0,64,1.2523214630263908,-1.260530869305839,2.56
0,0,65,1.2546377944565066,-1.2342377631794754,2.6
0,0,66,1.25897503657181,-1.203167710072794,2.64
0,0,67,1.2633122786871134,-1.1720976569661117,2.68
0,0,68,1.267649520802415,-1.1410276038594303,2.72
0,0,69,1.2719867629177184,-1.109957550752747,2.76
